Carrot on a Stick,398,minecraft:carrot_on_a_stick,
Nether Star,399,minecraft:nether_star,
Pumpkin Pie,400,minecraft:pumpkin_pie,
Firework Rocket,401,minecraft:fireworks,
Firework Star,402,minecraft:firework_charge,
Enchanted Book,403,minecraft:enchanted_book,
Redstone Comparator,404,minecraft:comparator,
Nether Brick (Item),405,minecraft:netherbrick,
Nether Quartz,406,minecraft:quartz,
Minecart (TNT),407,minecraft:tnt_minecart,
Minecart (Hopper),408,minecraft:hopper_minecart,
Iron Horse Armor,417,minecraft:iron_horse_armor,
Gold Horse Armor,418,minecraft:golden_horse_armor,
Diamond Horse Armor,419,minecraft:diamond_horse_armor,
Lead,420,minecraft:lead,
Name Tag,421,minecraft:name_tag,
Minecart (Command Block),422,minecraft:command_block_minecart,
Music Disk (13),2256,minecraft:record_13,Decorations
Music Disk (Cat),2257,minecraft:record_cat,Decorations
Music Disk (Blocks),2258,minecraft:record_blocks,Decorations
Music Disk (Chrip),2259,minecraft:record_chirp,Decorations
Music Disk (Far),2260,minecraft:record_far,Decorations
Music Disk (Mall),2261,minecraft:record_mall,Decorations
Music Disk (Mellohi),2262,minecraft:record_mellohi,Decorations
Music Disk (Stal),2263,minecraft:record_stal,Decorations
Music Disk (Strad),2264,minecraft:record_strad,Decorations
Music Disk (Ward),2265,minecraft:record_ward,Decorations
Music Disk (11) (Broken),2266,minecraft:record_11,Decorations
Music Disk (Wait),2267,minecraft:record_wait,Decorations
